Engine,buy_now,item_url,WoF expires,Seats,Cylinders,Import history,Stereo description,Transmission,Model detail,location,Number of owners,Body,Registration expires,Body style,Number plate,Engine size,AA Inspection Report,History,4WD,Fuel type,asking_price,Kilometres,start_price
,[],https://www.trademe.co.nz/motors/used-cars/volkswagen/auction-2149388778.htm?rsqid=2b3431a3cb554a2daf4abe6f3d0f561c-001,Oct 2019,,,,,Automatic,,"['Hamilton, Waikato, NZ']",,"Blue, Hatchback",Oct 2019,,JKE405,2000,,"1 owner, Imported",,Petrol,"['$35,000']","96,482",[]
,[],https://www.trademe.co.nz/motors/used-cars/mazda/auction-2161337582.htm?rsqid=e62b3865dda94b5892d0405302ead3a5-001,Oct 2019,5,,,,Automatic,Sporthatch Glx,"['Feilding, Manawatu, NZ']",,"White, 5 door, Hatchback",Oct 2019,,DPD848,1999,,"4 owners, NZ New",,Petrol,"['$5,500']","202,364",[]
,[],https://www.trademe.co.nz/motors/used-cars/mini/auction-2047626194.htm?rsqid=d836209d01b24c87947792f1c6469ac9-001,,,,,CD(s),Automatic,GEN 2 / Facelift,"['North Shore, Auckland, NZ']",,"Cream Black, 2 door, Hatchback",,,,1390,,,,Petrol,"['$8,950']","78,447",[]
,[],https://www.trademe.co.nz/motors/used-cars/toyota/auction-2050810395.htm?rsqid=b494b0f6d5724c3b8eef82dc8c66e2da-001,,6,,NZ New,,Manual,ZL 3.0TD 5M 3 SEAT,"['Christchurch City, Canterbury, NZ']",,"White, 4 door, Van",,,HLS168,2982,,,,Diesel,"['$29,950']","103,306",[]
"6 cylinder, 3700","['$24,990']",https://www.trademe.co.nz/motors/used-cars/nissan/auction-2154447118.htm?rsqid=72859354cc9649ea924a0243b084880b-001,Sep 2019,5,,,,Automatic,Infiniti QX70 Luxury SUV,"['Auckland City, Auckland, NZ']",,"Blue, 5 door, RV/SUV",Jul 2019,,LDF534,,,"1 owner, Imported",Yes,Petrol,[],"61,000","['$24,990.00']"
,[],https://www.trademe.co.nz/motors/used-cars/nissan/auction-2053807933.htm?rsqid=4e2e7c382e804f1f8dd3411c6504b47b-001,Oct 2019,,,,,Automatic,Mint condition,"['Whakatane, Bay of Plenty, NZ']",,"Pearly white, 5 door, Hatchback",Feb 2020,,JLD377,1498,,"3 owners, Imported",,Petrol,"['$4,919']","122,600",[]
,[],https://www.trademe.co.nz/motors/used-cars/volkswagen/auction-2156889791.htm?rsqid=5944f9b07d994274bd160adcc32abd62-001,Jul 2019,5,,,,Automatic,Dc 4M Tl,"['Ashburton, Canterbury, NZ']",,"White, 4 door, Ute",,,KCP908,1968,,"1 owner, NZ New",Yes,Diesel,"['$39,950']","61,000",[]
"4 cylinder, 1600",[],https://www.trademe.co.nz/motors/used-cars/mazda/auction-2050768640.htm?rsqid=b494b0f6d5724c3b8eef82dc8c66e2da-001,,2,,,,Automatic,,"['Ashburton, Canterbury, NZ']",,"silver , 2 door, Convertible",,,xt6213,,,"2 owners, NZ New",,Petrol,"['$4,150']",less than 1000,[]
,[],https://www.trademe.co.nz/motors/used-cars/mazda/auction-2148395928.htm?rsqid=dfcacf56cbf54a1da46ab9fd1b25b143-001,,5,,NZ New,CD(s),Automatic,GLX 1.5 Hatch Auto,"['Auckland City, Auckland, NZ']",,"Silver, 5 door, Hatchback",,,JBE496,1496,,,,Petrol,"['$15,999']","69,499",[]
,[],https://www.trademe.co.nz/motors/used-cars/holden/auction-2155516510.htm?rsqid=8a90278f8fac441d90603bb2ae9ba9cd-001,,5,,NZ New,Radio,Automatic,LT Sport Wagon 1.4L Turbo Auto,"['North Shore, Auckland, NZ']",,"DARKMOON BLUE, Station Wagon",,,MDN347,1398,,,,Petrol,"['$32,990']","3,000",[]
,[],https://www.trademe.co.nz/motors/used-cars/volkswagen/auction-2049419239.htm?rsqid=b494b0f6d5724c3b8eef82dc8c66e2da-001,,5,,NZ New,Radio,Automatic,TDi 103KW 7DSG,"['Wellington City, Wellington, NZ']",,"Grey, 5 door, Hatchback",,,JCW120,1968,,,Yes,Diesel,"['$23,999']","92,499",[]
,"['$15,000']",https://www.trademe.co.nz/motors/used-cars/toyota/auction-2158153965.htm?rsqid=cbbadfdcf8d24f5d8b7eb9d9911deda5-001,Feb 2020,5,,,,Automatic,Gx,"['North Shore, Auckland, NZ']",,"Silver, 4 door, Hatchback",Oct 2019,,HFT487,1798,,"5+ owners, NZ New",,Petrol,[],"114,000","['$15,000.00']"
,[],https://www.trademe.co.nz/motors/used-cars/honda/auction-2058031300.htm?rsqid=18e97208c68944a398bf6033e0e509b9-001,,,,,,Automatic,Type R * 6 Speed K20A * Special 8.95% Interest Rate on th,"['Auckland City, Auckland, NZ']",,"Silver, Hatchback",,,,2000,,,,Petrol,"['$13,850']","124,905",[]
,[],https://www.trademe.co.nz/motors/used-cars/holden/auction-2058792258.htm?rsqid=69857f0cb5a748358a3844190428bded-001,,5,,NZ New,Radio,Automatic,VF2 SV6,"['Manukau, Auckland, NZ']",,"Grey, 4 door, Sedan",,,KUZ45,3600,,,,Petrol,"['$29,995']","57,155",[]
,[],https://www.trademe.co.nz/motors/used-cars/nissan/auction-2047754398.htm?rsqid=d836209d01b24c87947792f1c6469ac9-001,,5,,Imported,"CD(s), Radio",Automatic,20G FACELIFT TOP SPEC,"['Manukau, Auckland, NZ']",,"Silver, 5 door, RV/SUV",,,,2000,,,,Petrol,"['$12,970']","52,370",[]
"4 cylinder, 2488",[],https://www.trademe.co.nz/motors/used-cars/nissan/auction-2150658976.htm?rsqid=523afa8d8353483ea96b94c48dc53bea-001,Aug 2019,5,,NZ New,,Manual,STX  4x4 D/C Flatdeck,"['Hamilton, Waikato, NZ']",,"Silver, Ute",Aug 2019,,EKE75,,,,Yes,Diesel,"['$19,500']","154,000",[]
,[],https://www.trademe.co.nz/motors/used-cars/holden/auction-2156128254.htm?rsqid=c2e42849d2484b83ae86f28dd1213895-001,,7,,NZ New,CD(s),Automatic,7 LT 3.0L V6 4WD,"['Auckland City, Auckland, NZ']",,"Grey, 5 door, RV/SUV",,,HNG542,2997,,,Yes,Petrol,"['$21,999']","102,409",[]
"6 cylinder, 3456",[],https://www.trademe.co.nz/motors/used-cars/lexus/auction-2060910555.htm?rsqid=17c7df6c078a45e0b73e2d785d80cad4-001,This month,5,,,,Tiptronic,V6 Petrol + Electric,"['Lower Hutt City, Wellington, NZ']",,"Red, 4 door, Sedan",Jul 2019,,DMW210,,,"1 owner, NZ New",,Hybrid,[],"98,000","['$12,500.00']"
,[],https://www.trademe.co.nz/motors/used-cars/toyota/auction-2150966970.htm?rsqid=569f0ad5f26a4e0780fa50b0a3689809-001,,5,,,,Automatic,1.5 vvti low ks corolla,"['Manukau, Auckland, NZ']",,"White, 5 door, Sedan",,,,1500,,,,Petrol,"['$8,920']","22,825",[]
,[],https://www.trademe.co.nz/motors/used-cars/suzuki/auction-2044996532.htm?rsqid=a8d59e681dbe42fdb0c00a02aaab53ef-001,,5,,,,Automatic,- ELLERSLIE,"['Auckland City, Auckland, NZ']",,"Red, Hatchback",,,DSF,1300,,,,Petrol,"['$4,970']","123,852",[]
,[],https://www.trademe.co.nz/motors/used-cars/holden/auction-2043825074.htm?rsqid=a8d59e681dbe42fdb0c00a02aaab53ef-001,,,,NZ New,Radio,Automatic,LTZ DC PU,"['Franklin, Auckland, NZ']",,"Blue Metallic, 4 door, Ute",,,MCF970,2776,,,Yes,Diesel,"['$56,995']","3,512",[]
,[],https://www.trademe.co.nz/motors/used-cars/nissan/auction-2056312255.htm?rsqid=d1cf42f50e954c7b963fee547390ff0b-001,,5,,Imported,,Automatic,Latio,"['Nelson, Nelson Bays, NZ']",,"Silver, 4 door, Sedan",,,HPZ671,1490,,,,Petrol,"['$4,990']","131,401",[]
,[],https://www.trademe.co.nz/motors/used-cars/volkswagen/auction-2161202465.htm?rsqid=e62b3865dda94b5892d0405302ead3a5-001,,5,,NZ New,"CD(s), Radio",Automatic,Edition R 2.0L Diesel D/C 8sp Auto,"['Auckland City, Auckland, NZ']",,"GREY, 4 door, Ute",,,HFC862,1968,,,,Diesel,"['$36,990']","78,000",[]
,[],https://www.trademe.co.nz/motors/used-cars/ford/auction-2052502461.htm?rsqid=b9596fc6f2f04887b3a2b58857bb500c-001,,5,,NZ New,Radio,Automatic,XLT 4X4,"['Manukau, Auckland, NZ']",,"White, 4 door, Ute",,,GST497,3199,,,Yes,Diesel,"['$29,995']","175,800",[]
"6 cylinder, 3696",[],https://www.trademe.co.nz/motors/used-cars/nissan/auction-2149259000.htm?rsqid=8c057464927c4232a5bb72a921771419-001,Nov 2019,2,,,,Manual,Z,"['Botany Downs, Auckland, NZ']",,"Black, Coupe",Jun 2019,,JME635,,,"1 owner, Imported",,Petrol,"['$29,980']","68,877",[]
,[],https://www.trademe.co.nz/motors/used-cars/nissan/auction-2058030584.htm?rsqid=18e97208c68944a398bf6033e0e509b9-001,,5,,,"CD(s), Radio",Automatic,**4WD + Leather+Heated Seats*Rev Cam**,"['Hamilton, Waikato, NZ']",,"White, 5 door, RV/SUV",,,,2000,,,Yes,Petrol,"['$7,990']","124,000",[]
,[],https://www.trademe.co.nz/motors/used-cars/honda/auction-2148046416.htm?rsqid=dfcacf56cbf54a1da46ab9fd1b25b143-001,,5,,,CD(s),Automatic,20TL,"['Auckland City, Auckland, NZ']",,"Black, 4 door, Sedan",,,,2000,,,,Petrol,"['$11,500']","99,850",[]
,[],https://www.trademe.co.nz/motors/used-cars/nissan/auction-2149258920.htm?rsqid=8c057464927c4232a5bb72a921771419-001,,5,,,CD(s),Automatic,1.5 Low KM,"['Christchurch City, Canterbury, NZ']",,"Silver, 5 door, Hatchback",,,,1500,,,,Petrol,"['$6,450']","54,373",[]
,[],https://www.trademe.co.nz/motors/used-cars/honda/auction-2157327311.htm?rsqid=4de5e0d21dfe4fbb91b579825d5ebebc-001,,5,,Imported,"CD(s), Radio",Automatic,ZL FACELIFT,"['Manukau, Auckland, NZ']",,"Silver, 5 door, RV/SUV",,,,2400,,,,Petrol,"['$14,480']","58,980",[]
,[],https://www.trademe.co.nz/motors/used-cars/mazda/auction-2155410242.htm?rsqid=826c7bf1999c4c58a3facb29397c004f-001,,5,,NZ New,"CD(s), Radio",Automatic,"GLX, NZ NEW, ONE OWNER","['Auckland City, Auckland, NZ']",,"Silver, 5 door, Hatchback",,,KSW51,1998,,,,Petrol,"['$23,990']","49,458",[]
,[],https://www.trademe.co.nz/motors/used-cars/mazda/auction-2047626154.htm?rsqid=d836209d01b24c87947792f1c6469ac9-001,,,,,,Automatic,XD 2.2L DIESEL WAGON,"['Auckland City, Auckland, NZ']",,"Red, 5 door, Station Wagon",,,,2200,,,,Diesel,"['$15,990']","153,160",[]
,[],https://www.trademe.co.nz/motors/used-cars/mazda/auction-2156579094.htm?rsqid=c2e42849d2484b83ae86f28dd1213895-001,,5,,,,,Limited AWD 2.5 Auto,"['Christchurch City, Canterbury, NZ']",,"Machine Grey, RV/SUV",,,LZP67,2488,,,,Petrol,"['$48,890']",less than 1000,[]
,[],https://www.trademe.co.nz/motors/used-cars/mazda/auction-2058121555.htm?rsqid=69857f0cb5a748358a3844190428bded-001,,5,,Imported,"CD(s), Radio",Automatic,Wagon 25EX!!Alloys+Heating Seats!!,"['Manukau, Auckland, NZ']",,"Gray, 5 door, Station Wagon",,,,2500,,,,Petrol,"['$9,450']","95,525",[]
,[],https://www.trademe.co.nz/motors/used-cars/suzuki/auction-2047245123.htm?rsqid=6f4849456d034cf5839ffe876de81548-001,,5,,,,Automatic,- MANUKAU 1.5XS 1500cc,"['Manukau, Auckland, NZ']",,"Silver, Hatchback",,,DSF,1500,,,,Petrol,"['$5,470']","116,287",[]
,[],https://www.trademe.co.nz/motors/used-cars/hyundai/auction-2161054951.htm?rsqid=70b510698b6240699ae0ee571b0605c8-001,,5,,,,Automatic,GDI 2.0L PETROL,"['Hamilton, Waikato, NZ']",,"SILVER, RV/SUV",,,JEG943,2000,,,,Petrol,"['$20,800']","79,152",[]
,[],https://www.trademe.co.nz/motors/used-cars/mazda/auction-2155589922.htm?rsqid=8a90278f8fac441d90603bb2ae9ba9cd-001,,5,,,CD(s),Automatic,20C i-Stop,"['Auckland City, Auckland, NZ']",,"Liquid Silver Metallic, 5 door, Hatchback",,,,2000,,,,Petrol,"['$10,800']","62,310",[]
,[],https://www.trademe.co.nz/motors/used-cars/jaguar/auction-2149384685.htm?rsqid=2b3431a3cb554a2daf4abe6f3d0f561c-001,,5,,Imported,"CD(s), MP3 Input, Radio",Automatic,2.2 Diesel,"['Waitakere, Auckland, NZ']",,"white, 4 door, Sedan",,,,2200,,,,Diesel,"['$27,950']","67,912",[]
,[],https://www.trademe.co.nz/motors/used-cars/honda/auction-2049222656.htm?rsqid=b494b0f6d5724c3b8eef82dc8c66e2da-001,,5,,,,Automatic,"newshape, low ks, nice alloys","['North Shore, Auckland, NZ']",,"light blue, 5 door, Hatchback",,,,1300,,,,Petrol,"['$6,420']","77,287",[]
,[],https://www.trademe.co.nz/motors/used-cars/toyota/auction-2061142528.htm?rsqid=c8fcaf3c472c48539f51827965642933-001,,8,,,CD(s),Automatic,TZ,"['Christchurch City, Canterbury, NZ']",,"Blue, 5 door, RV/SUV",,,EGP659,3400,,,Yes,Petrol,"['$11,995']","179,337",[]
,[],https://www.trademe.co.nz/motors/used-cars/toyota/auction-2150966853.htm?rsqid=569f0ad5f26a4e0780fa50b0a3689809-001,,7,,,,Automatic,"Vellfire, 7 seater, Z Edison.","['Manukau, Auckland, NZ']",,"Silver, 5 door, Van",,,,2400,,,,Petrol,"['$20,990']","44,750",[]
,[],https://www.trademe.co.nz/motors/used-cars/nissan/auction-2055365662.htm?rsqid=684f9d9bc20941c2a91772ec0e913cfd-001,,5,,,,Automatic,- ELLERSLIE Facelift,"['Auckland City, Auckland, NZ']",,"Silver, Hatchback",,,DSF,1500,,,,Petrol,"['$5,970']","101,925",[]
,[],https://www.trademe.co.nz/motors/used-cars/nissan/auction-2155751491.htm?rsqid=6670e72532ad4b67a3acc02edf5f6ff2-001,,5,,,,Automatic,- MANUKAU 15rx Aero,"['Manukau, Auckland, NZ']",,"Black, Station Wagon",,,,1500,,,,Petrol,"['$5,470']","130,256",[]
,[],https://www.trademe.co.nz/motors/used-cars/honda/auction-2047771543.htm?rsqid=d836209d01b24c87947792f1c6469ac9-001,,4,,Imported,,Automatic,ALPHA,"['Tauranga, Bay of Plenty, NZ']",,"Grey, 2 door, Coupe",,,,1490,,,,Petrol,"['$10,990']","117,514",[]
,[],https://www.trademe.co.nz/motors/used-cars/honda/auction-2156982251.htm?rsqid=bb4583d405a84557a57c807c9efb6e19-001,,5,,,CD(s),Automatic,1.3L Hybrid Cruise Control,"['North Shore, Auckland, NZ']",,"Silver, 5 door, Hatchback",,,,1300,,,,Hybrid,"['$9,200']","89,100",[]
,[],https://www.trademe.co.nz/motors/used-cars/ford/auction-2151054398.htm?rsqid=205c5e3ddf5f473982ed7781738b2188-001,,,,NZ New,,Manual,TREAD 9 SEATS DIESEL NZ NEW,"['Auckland City, Auckland, NZ']",,"Black, 4 door, Van",,,HWA708,2198,,,,Diesel,"['$31,990']","80,000",[]
,[],https://www.trademe.co.nz/motors/used-cars/nissan/auction-2157923306.htm?rsqid=4de5e0d21dfe4fbb91b579825d5ebebc-001,,5,,,,Automatic,24S 91% SOH,"['Christchurch City, Canterbury, NZ']",,"Gunmetalic, 5 door, Hatchback",,,,,,,,Electric,"['$17,950']","48,750",[]
,[],https://www.trademe.co.nz/motors/used-cars/mitsubishi/auction-2156128230.htm?rsqid=c2e42849d2484b83ae86f28dd1213895-001,,5,,NZ New,"CD(s), Radio",Automatic,LS 2.4L 4WD,"['Wellington City, Wellington, NZ']",,"Silver, 5 door, RV/SUV",,,HYQ292,2360,,,Yes,Petrol,"['$17,999']","130,215",[]
,[],https://www.trademe.co.nz/motors/used-cars/hyundai/auction-2155386125.htm?rsqid=826c7bf1999c4c58a3facb29397c004f-001,,5,,NZ New,CD(s),Automatic,1.7L CRDI WAGON AUTO,"['Auckland City, Auckland, NZ']",,"Silver, 5 door, Station Wagon",,,JQY434,1685,,,,Diesel,"['$20,999']","77,854",[]
,[],https://www.trademe.co.nz/motors/used-cars/holden/auction-2056690616.htm?rsqid=dc556dc843e247439a6079177352acb1-001,,,,NZ New,Radio,Automatic,VXR AWD,"['Franklin, Auckland, NZ']",,"Silver Metallic, 5 door, Hatchback",,,MDT622,,,,,Petrol,"['$51,995']",less than 1000,[]
,[],https://www.trademe.co.nz/motors/used-cars/mercedesbenz/auction-2150858486.htm?rsqid=523afa8d8353483ea96b94c48dc53bea-001,Feb 2020,5,,NZ New,,Automatic,C280 Avantgarde,"['Auckland City, Auckland, NZ']",,"Black, Sedan",This month,,EYZ188,2996,,,,Petrol,"['$17,500']","118,513",[]
,[],https://www.trademe.co.nz/motors/used-cars/ford/auction-2147921999.htm?rsqid=e40b2cffff62410a9559c877d7edf43f-001,Apr 2020,4,,,,Manual,Td Xl Sup W/S,"['Manukau, Auckland, NZ']",,"White, Ute",Aug 2019,,GLA663,3199,,"2 owners, NZ New",,Diesel,"['$21,700']","177,815",[]
,[],https://www.trademe.co.nz/motors/used-cars/toyota/auction-2047868401.htm?rsqid=55f53edf8b114ff79592b81e8b68cb4f-001,,5,,,,Automatic,"Newshape, low ks, nice colour","['Manukau, Auckland, NZ']",,"Red, 5 door, Hatchback",,,,1500,,,,Petrol,"['$16,420']","27,199",[]
,[],https://www.trademe.co.nz/motors/used-cars/toyota/auction-2150855059.htm?rsqid=523afa8d8353483ea96b94c48dc53bea-001,,5,,,,Automatic,350S G Sun Roof 4WD,"['Gore, Southland, NZ']",,"PEARL, 5 door, RV/SUV",,,,3500,,,Yes,Petrol,"['$13,950']","75,821",[]
,[],https://www.trademe.co.nz/motors/used-cars/honda/auction-2159673106.htm?rsqid=1626df020fb341bd892fe2e4ee09ec9c-001,,5,,Imported,"CD(s), Radio",Automatic,ZL NEW SHAPE,"['Manukau, Auckland, NZ']",,"Silver, 5 door, RV/SUV",,,,2400,,,,Petrol,"['$11,980']","66,620",[]
,[],https://www.trademe.co.nz/motors/used-cars/nissan/auction-2047793766.htm?rsqid=55f53edf8b114ff79592b81e8b68cb4f-001,,5,,Imported,"CD(s), Radio",Automatic,4WD NEW SHAPE BOSE SPEAKER,"['Manukau, Auckland, NZ']",,"Black, 5 door, RV/SUV",,,,3500,,,,Petrol,"['$16,990']","63,553",[]
"12 cylinder, 5300","['$18,950']",https://www.trademe.co.nz/motors/used-cars/jaguar/auction-2152235226.htm?rsqid=2cc80bba9bfc47909683872a3aa1edc2-001,Dec 2019,5,,,,Automatic,XJ12L,"['Whanganui, Whanganui, NZ']",,"Sable Brown, 4 door, Sedan",Jan 2020,,GW8177,,,"2 owners, NZ New",,Petrol,[],"112,000","['$16,950.00']"
,[],https://www.trademe.co.nz/motors/used-cars/ford/auction-2159982371.htm?rsqid=20b6018c3ea94170aa1e976e3d9cf8da-001,,5,,,CD(s),Automatic,3.2TD XLT DC W/S 4X2,"['Christchurch City, Canterbury, NZ']",,"Silver, 4 door, Ute",,,HAU567,3200,,,,Diesel,"['$27,990']","146,004",[]
,[],https://www.trademe.co.nz/motors/used-cars/nissan/auction-2060823321.htm?rsqid=17c7df6c078a45e0b73e2d785d80cad4-001,,2,,,,Automatic,"VX Vanette, low ks, very tidy","['Manukau, Auckland, NZ']",,"Brown, 5 door, Van",,,,1600,,,,Petrol,"['$13,990']","74,919",[]
,[],https://www.trademe.co.nz/motors/used-cars/jeep/auction-2053756481.htm?rsqid=4e2e7c382e804f1f8dd3411c6504b47b-001,,5,,,,Automatic,SRT8 6.4L,"['Auckland City, Auckland, NZ']",,"SILVER, RV/SUV",,,KFW407,6417,,,Yes,Petrol,"['$84,888']","33,677",[]
,[],https://www.trademe.co.nz/motors/used-cars/jaguar/auction-2048833748.htm?rsqid=3b86f2fab0f34ca4a4fba9a8cafccb3c-001,,5,,Imported,"CD(s), MP3 Input, Radio",Automatic,2.0 GTDI,"['Waitakere, Auckland, NZ']",,"Grey, 4 door, Sedan",,,,1997,,,,Petrol,"['$21,950']","65,000",[]
,[],https://www.trademe.co.nz/motors/used-cars/nissan/auction-2043752144.htm?rsqid=a8d59e681dbe42fdb0c00a02aaab53ef-001,,5,,,,Automatic,"facelift, camchain, nice n tidy","['Manukau, Auckland, NZ']",,"Black, 5 door, Hatchback",,,,1500,,,,Petrol,"['$6,200']","98,564",[]
,[],https://www.trademe.co.nz/motors/used-cars/audi/auction-2153914463.htm?rsqid=ddf2ec705c414acea9b50af25c5865fa-001,May 2020,5,,,,Automatic,2.0T FSI Quattro,"['Waitakere, Auckland, NZ']",,"Green, 4 door, Sedan",,,,1984,,"New, Imported",,Petrol,[],"94,700","['$3,510.00']"
"4 cylinder, 1332",[],https://www.trademe.co.nz/motors/used-cars/mercedesbenz/auction-2057990814.htm?rsqid=18e97208c68944a398bf6033e0e509b9-001,Aug 2021,5,,,,Automatic,,"['Palmerston North, Manawatu, NZ']",,"Red, 5 door, Hatchback",Aug 2019,,LPA456,,,"1 owner, NZ New",,Petrol,"['$51,990']","14,500",[]
,[],https://www.trademe.co.nz/motors/used-cars/nissan/auction-2056762658.htm?rsqid=767fdadecedf4be394e71dd866532225-001,,5,,,,Automatic,"Facelift, low kms, very tidy","['Auckland City, Auckland, NZ']",,"Silver, 5 door, Hatchback",,,,1500,,,,Petrol,"['$5,920']","56,303",[]
,[],https://www.trademe.co.nz/motors/used-cars/toyota/auction-2155462180.htm?rsqid=8a90278f8fac441d90603bb2ae9ba9cd-001,,5,,,,Automatic,GX 1.3P 4AT NZ New,"['Hamilton, Waikato, NZ']",,"GREY, Hatchback",,,LMN54,1299,,,,Petrol,"['$17,990']","23,147",[]
,[],https://www.trademe.co.nz/motors/used-cars/toyota/auction-2055151985.htm?rsqid=8075110b10834de9896226b20f4e638d-001,,5,,,,Automatic,"1.5L Hybrid Eco Hatch with Low KM, Uber, Taxi","['Christchurch City, Canterbury, NZ']",,"White, 5 door, Hatchback",,,,1500,,,,Hybrid,"['$9,420']","61,580",[]
,[],https://www.trademe.co.nz/motors/used-cars/subaru/auction-2152349928.htm?rsqid=2cc80bba9bfc47909683872a3aa1edc2-001,,5,,Imported,"CD(s), Radio",Automatic,Wagon 15S!!ALLOYS!!,"['Manukau, Auckland, NZ']",,"Grey, 5 door, Sedan",,,,1500,,,,Petrol,"['$6,450']","100,547",[]
,[],https://www.trademe.co.nz/motors/used-cars/toyota/auction-2153586130.htm?rsqid=ddf2ec705c414acea9b50af25c5865fa-001,,,,,,Automatic,,"['Hamilton, Waikato, NZ']",,"Dark Blue, Van",,,,2400,,,,Petrol,"['$18,995']","87,000",[]
,[],https://www.trademe.co.nz/motors/used-cars/jeep/auction-2047626346.htm?rsqid=d836209d01b24c87947792f1c6469ac9-001,,,,,,Automatic,SPORT UNLIMITED,"['Auckland City, Auckland, NZ']",,"Black, 5 door, RV/SUV",,,,3800,,,Yes,Petrol,"['$31,990']","99,221",[]
,[],https://www.trademe.co.nz/motors/used-cars/toyota/auction-2150730302.htm?rsqid=523afa8d8353483ea96b94c48dc53bea-001,Apr 2020,5,,,,Automatic,,"['Auckland City, Auckland, NZ']",,"Silver, Hatchback",Oct 2019,,MBH180,1296,,"3 owners, Imported",,Petrol,"['$6,500']","68,400",[]
,[],https://www.trademe.co.nz/motors/used-cars/holden/auction-2056449219.htm?rsqid=d1cf42f50e954c7b963fee547390ff0b-001,,5,,,,Automatic,LTZ 2WD Turbo  Auto,"['Tauranga, Bay of Plenty, NZ']",,"Black, RV/SUV",,,MDA290,2000,,,,Petrol,"['$38,990']",less than 1000,[]
,[],https://www.trademe.co.nz/motors/used-cars/mitsubishi/auction-2158088179.htm?rsqid=cbbadfdcf8d24f5d8b7eb9d9911deda5-001,,7,,Imported,,Automatic,3.2 DIESEL AUTO 4WD 7 SEATS,"['Papakura, Auckland, NZ']",,"Gold, RV/SUV",,,KQD122,3200,,,Yes,Diesel,"['$15,990']","224,725",[]
